A,B,,,,,,,,,,,Description,Connected groups
Art Hanger,Republican Party of Alberta,,,,,,,,,,,vice-president of policy for Leader of Republican Party of Alberta and  former conservative parliamentarian,Republican Party of Alberta
Bruce Pardy,Energy Probe Research Foundation,,,,,,,,,,,Queen’s University law professor and executive director of the libertarian think tank Rights Probe,Rights Probe / Energy Probe Research Foundation
Cameron Davis,Republican Party of Alberta,,,,,,,,,,,Leader of Republican Party of Alberta,Republican Party of Alberta
Darin Cloutier ,Alberta Prosperity Project,,,,,,,,,,,Contact for APP Event,Alberta Prosperity Society / Project
Dennis Modry,Alberta Prosperity Project,,,,,,,,,,,Founding member of the Alberta Prosperity Society / Project,Alberta Prosperity Society / Project
Gordon Kesler,,,,,,,,,,,,"former MLA in southern Alberta, lives in Arizona",
Ian Parkinson,Black Hat Gang,,,,,,,,,,, a longtime political figure and conservative activist in the region. [confirm],"""The Black Hat Gang"""
Jeffrey Rath,Alberta Prosperity Project,,,,,,,,,,,"Spoke at APP event (?). Listed as ""Constitutional & Indigenous Rights Lawyer""",Alberta Prosperity Society / Project
LaVar Payne,Black Hat Gang,,,,,,,,,,,Former MP for Medicine Hat from 2008 to 2015.,"""The Black Hat Gang"""
Lawrence Solomon,Energy Probe Research Foundation,,,,,,,,,,,Founder and managing director of Energy Probe Research Foundation,Rights Probe / Energy Probe Research Foundation
Leighton Grey,Black Hat Gang,,,,,,,,,,,Lawyer known for representing clients who opposed COVID-19 public health measures and for promoting Alberta’s independence from federal governance. [confirm],"""The Black Hat Gang"""
Michael Wagner,,,,,,,,,,,,calls himself an independent researcher,
Mitch Sylvestre,Take Back Alberta,,,,,,,,,,,,
Mitch Sylvestre,Alberta Prosperity Project,,,,,,,,,,,,
Mitch Sylvestre,Black Hat Gang,,,,,,,,,,,CEO of Alberta Prosperity Project | president of the Bonnyville-Cold Lake UCP riding association [confirm] and Take Back Alberta organizer  [confirm],"Alberta Prosperity Society / Project | ""The Black Hat Gang"" | Take Back Alberta"
Nicole Kimpton,Alberta Prosperity Project,,,,,,,,,,,Listed as contact for  Alberta Prosperity Project events,Alberta Prosperity Society / Project
Scott Payne,Black Hat Gang,,,,,,,,,,,,
Scott Payne,Alberta Prosperity Project,,,,,,,,,,,"""Scott is a military veteran residing in Medicine Hat … also an active member of the National Firearms Association and the Black Hats"" | LaVar Payne's son","Alberta Prosperity Society / Project | ""The Black Hat Gang"""
Tanya Clemens,Alberta Prosperity Project,,,,,,,,,,,"Featured speaker at APP event ""FARMER, EDUCATOR, ADVOCATE FOR AGRICULTURE"". Running for UCP Livingstone-Macleod",Alberta Prosperity Society / Project
Alain Ludger Gauthier,Alberta Prosperity Project,,,,,,,,,,,Has been VP of Technology at APP (2022),Alberta Prosperity Society / Project
Bob Blayone,Alberta Prosperity Project,,,,,,,,,,,,Alberta Prosperity Society / Project
David Steckenreiter,Alberta Prosperity Project,,,,,,,,,,,,Alberta Prosperity Society / Project
Doug Elzinga,Alberta Prosperity Project,,,,,,,,,,,,Alberta Prosperity Society / Project
Doug Ford,Alberta Prosperity Project,,,,,,,,,,,,Alberta Prosperity Society / Project
Lawrence Courtoreille,Alberta Prosperity Project,,,,,,,,,,,,Alberta Prosperity Society / Project
Marc Chayer,Alberta Prosperity Project,,,,,,,,,,,,Alberta Prosperity Society / Project
Pam Lehr,Alberta Prosperity Project,,,,,,,,,,,Provincial Events Coordinator APP (2022),Alberta Prosperity Society / Project
Rejean Lavoie,Alberta Prosperity Project,,,,,,,,,,,Chief Operations Officer (COO) APP (2022),Alberta Prosperity Society / Project
Rob Patterson,Alberta Prosperity Project,,,,,,,,,,,,Alberta Prosperity Society / Project
Tanner Hnidey,Alberta Prosperity Project,,,,,,,,,,,,Alberta Prosperity Society / Project
Walter Harris-Demelo,Alberta Prosperity Project,,,,,,,,,,,"VP Communications APP (2022, and present according to LinkedIn)",Alberta Prosperity Society / Project
Will Stayer,Alberta Prosperity Project,,,,,,,,,,,VP Internal Affairs APP (2022),Alberta Prosperity Society / Project
Dana Blayone,Alberta Prosperity Project,,,,,,,,,,,Wife of Bob Blayone,Alberta Prosperity Society / Project
Shannon Packham,Alberta Prosperity Project,,,,,,,,,,,,Alberta Prosperity Society / Project
Vicky Bayford,Alberta Prosperity Project,,,,,,,,,,,Contact for APP Event,Alberta Prosperity Society / Project
Caylan Ford,We Unify Conference,,,,,,,,,,,,
Caylan Ford,Classical Academy,,,,,,,,,,,We Unify Conference | Classical Academy,Classical Academy
Lara Logan,We Unify Conference,,,,,,,,,,,We Unify Conference | Journalist,CBS
Allison Pejovic,Justice Centre for Constitutional Freedoms,,,,,,,,,,,,
Allison Pejovic,Charter Advocates Canada,,,,,,,,,,,,
Allison Pejovic,We Unify Conference,,,,,,,,,,,We Unify Conference | Lawyer,Charter Advocates Canada | Justice Centre for Constitutional Freedoms (Former)
Katie Pasitney,We Unify Conference,,,,,,,,,,,We Unify Conference | Farmer,
Michelle Ferreri,We Unify Conference,,,,,,,,,,,We Unify Conference | Former Politician,
Robert Malone,We Unify Conference,,,,,,,,,,,We Unify Conference | Physician,
Stockwell Day,We Unify Conference,,,,,,,,,,,We Unify Conference | Former Politician,
Charles Hoffe,We Unify Conference,,,,,,,,,,,We Unify Conference | Physician,
Lisa Robinson,We Unify Conference,,,,,,,,,,,We Unify Conference | City Councilor,
Viva Frei,We Unify Conference,,,,,,,,,,,We Unify Conference | Youtuber,
Koleya Karringten,We Unify Conference,,,,,,,,,,,We Unify Conference | Cryptocurrency,
Krystal Churcher,We Unify Conference,,,,,,,,,,,We Unify Conference | Childcare Advocate,
Rod Giltaca,We Unify Conference,,,,,,,,,,,We Unify Conference | Firearm Advocate,
Jennifer Hibberd,We Unify Conference,,,,,,,,,,,We Unify Conference | Surgeon,
Max Bernier,We Unify Conference,,,,,,,,,,,We Unify Conference | Politician,
Ezra Levant,Rebel News,,,,,,,,,,,,
Ezra Levant,We Unify Conference,,,,,,,,,,,We Unify Conference | Rebel News,Rebel News
Jordan Kealy,We Unify Conference,,,,,,,,,,,We Unify Conference | Politician,
Mia Hughes,Genspect Canada,,,,,,,,,,,,
Mia Hughes,We Unify Conference,,,,,,,,,,,We Unify Conference | Genspect Canada,Genspect Canada
Jan Jekielek,The Epoch Times,,,,,,,,,,,,
Jan Jekielek,We Unify Conference,,,,,,,,,,,We Unify Conference | The Epoch Times,The Epoch Times
Grant Abraham,We Unify Conference,,,,,,,,,,,We Unify Conference | Author,
Ryan Cole,We Unify Conference,,,,,,,,,,,We Unify Conference | Physician,
Shane Wenzel,We Unify Conference,,,,,,,,,,,We Unify Conference | Entrepreneur,
Paul Allen,Citizen Portal AI,,,,,,,,,,,,
Paul Allen,We Unify Conference,,,,,,,,,,,We Unify Conference | Citizen Portal AI,Citizen Portal AI
Heather Wilson,Give Send Go,,,,,,,,,,,,
Heather Wilson,We Unify Conference,,,,,,,,,,,We Unify Conference | CEO Give Send Go,Give Send Go
Garnett Genuis,We Unify Conference,,,,,,,,,,,We Unify Conference | Politician,
Amanda Achtman,We Unify Conference,,,,,,,,,,,We Unify Conference | Activist,
Lisa Bildy,We Unify Conference,,,,,,,,,,,We Unify Conference | Free Speech Union,
Brett Oland,Credit Union,,,,,,,,,,,,
Brett Oland,We Unify Conference,,,,,,,,,,,We Unify Conference | Credit Union CEO,Credit Union
Frances Widdowson,We Unify Conference,,,,,,,,,,,We Unify Conference | Political Scientist,
Cory Morgan,We Unify Conference,,,,,,,,,,,,
Cory Morgan,Western Standard,,,,,,,,,,,We Unify Conference | Western Standard,Western Standard
Andrew Hale,We Unify Conference,,,,,,,,,,,,
Andrew Hale,Heritage Foundation,,,,,,,,,,,We Unify Conference | Heritage Foundation,Heritage Foundation
Nadine Ness,We Unify Conference,,,,,,,,,,,,
Nadine Ness,Unified Grassroots,,,,,,,,,,,We Unify Conference | Unified Grassroots,Unified Grassroots
David Williams,We Unify Conference,,,,,,,,,,,We Unify Conference | Politician,
Lindsay Brandon,We Unify Conference,,,,,,,,,,,,
Lindsay Brandon,Permaculture,,,,,,,,,,,We Unify Conference | Permaculture CEO,Permaculture
Erica Massey,We Unify Conference,,,,,,,,,,,,
Erica Massey,BC Rising,,,,,,,,,,,We Unify Conference | BC Rising,BC Rising
Jennifer Fraser,We Unify Conference,,,,,,,,,,,We Unify Conference | Entrepreneur,
Curtis Stone,We Unify Conference,,,,,,,,,,,We Unify Conference | Farmer,
Jason Lavigne,We Unify Conference,,,,,,,,,,,We Unify Conference | Podcaster,
Sheldon Yakiwchuk,We Unify Conference,,,,,,,,,,,We Unify Conference | Councillor Candidate,
Lee Harding,We Unify Conference,,,,,,,,,,,We Unify Conference | Journalist,
Ted Kuntz,We Unify Conference,,,,,,,,,,,,
Ted Kuntz,NCI,,,,,,,,,,,"We Unify Conference | NCI Chair, anti-vaccine advocate",NCI
Jacob Wells,We Unify Conference,,,,,,,,,,,,
Jacob Wells,Give Send Go,,,,,,,,,,,We Unify Conference | CFO Give Send Go,Give Send Go
John Hilton-O'Brien,We Unify Conference,,,,,,,,,,,,
John Hilton-O'Brien,Parents for Choice,,,,,,,,,,,We Unify Conference | Parents for Choice,Parents for Choice
John Graff,We Unify Conference,,,,,,,,,,,We Unify Conference | Farmer,
Adam Soos,We Unify Conference,,,,,,,,,,,,
Adam Soos,Canadians for Truth,,,,,,,,,,,We Unify Conference | Canadians for Truth,Canadians for Truth
Jeff Park,We Unify Conference,,,,,,,,,,,,
Jeff Park,Alberta Parents Union,,,,,,,,,,,We Unify Conference | Parents Union,Alberta Parents Union
Perry Kinkaide,We Unify Conference,,,,,,,,,,,We Unify Conference | Entrepreneur,
Clyde Do Something,We Unify Conference,,,,,,,,,,,We Unify Conference | Youtuber,
